OAK,SNA,558
SNA,OAK,558
OAK,PDX,451
TUS,SEA,444
SEA,TUS,443
PDX,OAK,438
ANC,ORD,366
BOS,PDX,366
DCA,LAX,366
HNL,SEA,366
LAX,DCA,366
LAX,SFO,366
LIH,SEA,366
MIA,SEA,366
ORD,ANC,366
PDX,BOS,366
SEA,HNL,366
SEA,LIH,366
SEA,MIA,366
SFO,LAX,366
ANC,OME,365
KTN,SIT,365
SIT,KTN,365
BRW,ANC,364
BRW,FAI,364
FAI,BRW,364
FAI,SCC,364
JNU,KTN,364
KTN,WRG,364
PSG,JNU,364
SCC,BRW,364
WRG,PSG,364
ANC,SCC,363
CDV,ANC,363
JNU,PSG,363
JNU,YAK,363
PSG,WRG,363
SCC,ANC,363
WRG,KTN,363
YAK,CDV,363
ANC,CDV,362
CDV,YAK,362
KTN,JNU,362
YAK,JNU,362
OME,OTZ,361
OTZ,ANC,361
MCO,PDX,237
ANC,HNL,236
HNL,ANC,236
PDX,MCO,236
SIT,SEA,227
LAX,ANC,212
ANC,LAX,211
PSP,PDX,169
OGG,SEA,168
PDX,PSP,168
SEA,OGG,168
MSP,SEA,133
SEA,MSP,133
ANC,AKN,116
DLG,ANC,116
RNO,SEA,112
SEA,RNO,112
SEA,SIT,104
ADK,ANC,102
ANC,ADK,102
PDX,SMF,102
SMF,PDX,102
GST,JNU,85
JNU,GST,85
SFO,ANC,79
AKN,ANC,78
ANC,DEN,78
ANC,DLG,78
ANC,SFO,78
DEN,ANC,78
BOI,SEA,75
SEA,BOI,75
BUR,PDX,60
ONT,PDX,60
PDX,BUR,60
PDX,ONT,60
KOA,SEA,45
SEA,KOA,45
AKN,DLG,38
ANC,OGG,27
OGG,ANC,27
